"name","id","url","platforms","kill chain phases","description","data sources","detection"
"DCSync","T1003.006","https://attack.mitre.org/techniques/T1003/006","Windows","Credential Access","<p>Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API)(Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft GetNCCChanges) (Citation: Samba DRSUAPI) (Citation: Wine API samlib.dll) to simulate the replication process from a remote domain controller using a technique called DCSync.</p>
<p>Members of the Administrators, Domain Admins, and Enterprise Admin groups or computer accounts on the domain controller are able to run DCSync to pull password data(Citation: ADSecurity Mimikatz DCSync) from Active Directory, which may include current and historical hashes of potentially useful accounts such as KRBTGT and Administrators. The hashes can then in turn be used to create a <a href=""https://attack.mitre.org/techniques/T1558/001"" rel=""noopener"" target=""_blank"">Golden Ticket</a> for use in <a href=""https://attack.mitre.org/techniques/T1550/003"" rel=""noopener"" target=""_blank"">Pass the Ticket</a>(Citation: Harmj0y Mimikatz and DCSync) or change an account's password as noted in <a href=""https://attack.mitre.org/techniques/T1098"" rel=""noopener"" target=""_blank"">Account Manipulation</a>.(Citation: InsiderThreat ChangeNTLM July 2017)</p>
<p>DCSync functionality has been included in the ""lsadump"" module in <a href=""https://attack.mitre.org/software/S0002"" rel=""noopener"" target=""_blank"">Mimikatz</a>.(Citation: GitHub Mimikatz lsadump Module) Lsadump also includes NetSync, which performs DCSync over a legacy replication protocol.(Citation: Microsoft NRPC Dec 2017)</p>","",""
"Proc Filesystem","T1003.007","https://attack.mitre.org/techniques/T1003/007","Linux","Credential Access","<p>Adversaries may gather credentials from the proc filesystem or <code>/proc</code>. The proc filesystem is a pseudo-filesystem used as an interface to kernel data structures for Linux based systems managing virtual memory. For each process, the <code>/proc/&lt;PID&gt;/maps</code> file shows how memory is mapped within the process&#8217;s virtual address space. And <code>/proc/&lt;PID&gt;/mem</code>, exposed for debugging purposes, provides access to the process&#8217;s virtual address space.(Citation: Picus Labs Proc cump 2022)(Citation: baeldung Linux proc map 2022)</p>
<p>When executing with root privileges, adversaries can search these memory locations for all processes on a system that contain patterns indicative of credentials. Adversaries may use regex patterns, such as <code>grep -E ""^[0-9a-f-]* r"" /proc/""$pid""/maps | cut -d' ' -f 1</code>, to look for fixed strings in memory structures or cached hashes.(Citation: atomic-red proc file system) When running without privileged access, processes can still view their own virtual memory locations. Some services or programs may save credentials in clear text inside the process&#8217;s memory.(Citation: MimiPenguin GitHub May 2017)(Citation: Polop Linux PrivEsc Gitbook)</p>
<p>If running as or with the permissions of a web browser, a process can search the <code>/maps</code> &amp; <code>/mem</code> locations for common website credential patterns (that can also be used to find adjacent memory within the same structure) in which hashes or cleartext credentials may be located.</p>","",""
"/etc/passwd and /etc/shadow","T1003.008","https://attack.mitre.org/techniques/T1003/008","Linux","Credential Access","<p>Adversaries may attempt to dump the contents of <code>/etc/passwd</code> and <code>/etc/shadow</code> to enable offline password cracking. Most modern Linux operating systems use a combination of <code>/etc/passwd</code> and <code>/etc/shadow</code> to store user account information, including password hashes in <code>/etc/shadow</code>. By default, <code>/etc/shadow</code> is only readable by the root user.(Citation: Linux Password and Shadow File Formats)</p>
<p>Linux stores user information such as user ID, group ID, home directory path, and login shell in <code>/etc/passwd</code>. A ""user"" on the system may belong to a person or a service. All password hashes are stored in <code>/etc/shadow</code> - including entries for users with no passwords and users with locked or disabled accounts.(Citation: Linux Password and Shadow File Formats)</p>
<p>Adversaries may attempt to read or dump the <code>/etc/passwd</code> and <code>/etc/shadow</code> files on Linux systems via command line utilities such as the <code>cat</code> command.(Citation: Arctic Wolf) Additionally, the Linux utility <code>unshadow</code> can be used to combine the two files in a format suited for password cracking utilities such as John the Ripper - for example, via the command <code>/usr/bin/unshadow /etc/passwd /etc/shadow &gt; /tmp/crack.password.db</code>(Citation: nixCraft - John the Ripper). Since the user information stored in <code>/etc/passwd</code> are linked to the password hashes in <code>/etc/shadow</code>, an adversary would need to have access to both.</p>","",""
"Data from Local System","T1005","https://attack.mitre.org/techniques/T1005","ESXi, Linux, macOS, Network Devices, Windows","Collection","<p>Adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to Exfiltration.</p>
<p>Adversaries may do this using a <a href=""https://attack.mitre.org/techniques/T1059"" rel=""noopener"" target=""_blank"">Command and Scripting Interpreter</a>, such as <a href=""https://attack.mitre.org/software/S0106"" rel=""noopener"" target=""_blank"">cmd</a> as well as a <a href=""https://attack.mitre.org/techniques/T1059/008"" rel=""noopener"" target=""_blank"">Network Device CLI</a>, which have functionality to interact with the file system to gather information.(Citation: show_run_config_cmd_cisco) Adversaries may also use <a href=""https://attack.mitre.org/techniques/T1119"" rel=""noopener"" target=""_blank"">Automated Collection</a> on the local system.</p>","",""
"Direct Volume Access","T1006","https://attack.mitre.org/techniques/T1006","Network Devices, Windows","Defense Evasion","<p>Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structures. This technique may bypass Windows file access controls as well as file system monitoring tools. (Citation: Hakobyan 2009)</p>
<p>Utilities, such as <code>NinjaCopy</code>, exist to perform these actions in PowerShell.(Citation: Github PowerSploit Ninjacopy) Adversaries may also use built-in or third-party utilities (such as <code>vssadmin</code>, <code>wbadmin</code>, and <a href=""https://attack.mitre.org/software/S0404"" rel=""noopener"" target=""_blank"">esentutl</a>) to create shadow copies or backups of data from system volumes.(Citation: LOLBAS Esentutl)</p>","",""
"System Service Discovery","T1007","https://attack.mitre.org/techniques/T1007","Linux, macOS, Windows","Discovery","<p>Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as <code>sc query</code>, <code>tasklist /svc</code>, <code>systemctl --type=service</code>, and <code>net start</code>. Adversaries may also gather information about schedule tasks via commands such as <code>schtasks</code> on Windows or <code>crontab -l</code> on Linux and macOS.(Citation: Elastic Security Labs GOSAR 2024)(Citation: SentinelLabs macOS Malware 2021)(Citation: Splunk Linux Gormir 2024)(Citation: Aquasec Kinsing 2020)</p>
<p>Adversaries may use the information from <a href=""https://attack.mitre.org/techniques/T1007"" rel=""noopener"" target=""_blank"">System Service Discovery</a> during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.</p>","",""
"Fallback Channels","T1008","https://attack.mitre.org/techniques/T1008","Linux, Windows, macOS, ESXi","Command and Control","<p>Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.</p>","",""
"Application Window Discovery","T1010","https://attack.mitre.org/techniques/T1010","Linux, Windows, macOS","Discovery","<p>Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used.(Citation: Prevailion DarkWatchman 2021) For example, information about application windows could be used identify potential data to collect as well as identifying security tooling (<a href=""https://attack.mitre.org/techniques/T1518/001"" rel=""noopener"" target=""_blank"">Security Software Discovery</a>) to evade.(Citation: ESET Grandoreiro April 2020)</p>
<p>Adversaries typically abuse system features for this type of enumeration. For example, they may gather information through native system features such as <a href=""https://attack.mitre.org/techniques/T1059"" rel=""noopener"" target=""_blank"">Command and Scripting Interpreter</a> commands and <a href=""https://attack.mitre.org/techniques/T1106"" rel=""noopener"" target=""_blank"">Native API</a> functions.</p>","",""
"Exfiltration Over Other Network Medium","T1011","https://attack.mitre.org/techniques/T1011","Linux, macOS, Windows","Exfiltration","<p>Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection, the exfiltration may occur, for example, over a WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel.</p>
<p>Adversaries may choose to do this if they have sufficient access or proximity, and the connection might not be secured or defended as well as the primary Internet-connected channel because it is not routed through the same enterprise network.</p>","",""
"Exfiltration Over Bluetooth","T1011.001","https://attack.mitre.org/techniques/T1011/001","Linux, macOS, Windows","Exfiltration","<p>Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection, an adversary may opt to exfiltrate data using a Bluetooth communication channel.</p>
<p>Adversaries may choose to do this if they have sufficient access and proximity. Bluetooth connections might not be secured or defended as well as the primary Internet-connected channel because it is not routed through the same enterprise network.</p>","",""
"Query Registry","T1012","https://attack.mitre.org/techniques/T1012","Windows","Discovery","<p>Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.</p>
<p>The Registry contains a significant amount of information about the operating system, configuration, software, and security.(Citation: Wikipedia Windows Registry) Information can easily be queried using the <a href=""https://attack.mitre.org/software/S0075"" rel=""noopener"" target=""_blank"">Reg</a> utility, though other means to access the Registry exist. Some of the information may help adversaries to further their operation within a network. Adversaries may use the information from <a href=""https://attack.mitre.org/techniques/T1012"" rel=""noopener"" target=""_blank"">Query Registry</a> during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.</p>","",""
"Rootkit","T1014","https://attack.mitre.org/techniques/T1014","Linux, macOS, Windows","Defense Evasion","<p>Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information. (Citation: Symantec Windows Rootkits) </p>
<p>Rootkits or rootkit enabling functionality may reside at the user or kernel level in the operating system or lower, to include a hypervisor or <a href=""https://attack.mitre.org/techniques/T1542/001"" rel=""noopener"" target=""_blank"">System Firmware</a>. (Citation: Wikipedia Rootkit) Rootkits have been seen for Windows, Linux, and Mac OS X systems. (Citation: CrowdStrike Linux Rootkit) (Citation: BlackHat Mac OSX Rootkit)</p>
<p>Rootkits that reside or modify boot sectors are known as <a href=""https://attack.mitre.org/techniques/T1542/003"" rel=""noopener"" target=""_blank"">Bootkit</a>s and specifically target the boot process of the operating system.</p>","",""
"System Network Configuration Discovery","T1016","https://attack.mitre.org/techniques/T1016","ESXi, Linux, macOS, Network Devices, Windows","Discovery","<p>Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this information. Examples include <a href=""https://attack.mitre.org/software/S0099"" rel=""noopener"" target=""_blank"">Arp</a>, <a href=""https://attack.mitre.org/software/S0100"" rel=""noopener"" target=""_blank"">ipconfig</a>/<a href=""https://attack.mitre.org/software/S0101"" rel=""noopener"" target=""_blank"">ifconfig</a>, <a href=""https://attack.mitre.org/software/S0102"" rel=""noopener"" target=""_blank"">nbtstat</a>, and <a href=""https://attack.mitre.org/software/S0103"" rel=""noopener"" target=""_blank"">route</a>.</p>
<p>Adversaries may also leverage a <a href=""https://attack.mitre.org/techniques/T1059/008"" rel=""noopener"" target=""_blank"">Network Device CLI</a> on network devices to gather information about configurations and settings, such as IP addresses of configured interfaces and static/dynamic routes (e.g. <code>show ip route</code>, <code>show ip interface</code>).(Citation: US-CERT-TA18-106A)(Citation: Mandiant APT41 Global Intrusion ) On ESXi, adversaries may leverage esxcli to gather network configuration information. For example, the command <code>esxcli network nic list</code> will retrieve the MAC address, while <code>esxcli network ip interface ipv4 get</code> will retrieve the local IPv4 address.(Citation: Trellix Rnasomhouse 2024)</p>
<p>Adversaries may use the information from <a href=""https://attack.mitre.org/techniques/T1016"" rel=""noopener"" target=""_blank"">System Network Configuration Discovery</a> during automated discovery to shape follow-on behaviors, including determining certain access within the target network and what actions to do next. </p>","",""
"Internet Connection Discovery","T1016.001","https://attack.mitre.org/techniques/T1016/001","Windows, Linux, macOS, ESXi","Discovery","<p>Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using <a href=""https://attack.mitre.org/software/S0097"" rel=""noopener"" target=""_blank"">Ping</a>, <code>tracert</code>, and GET requests to websites, or performing initial speed testing to confirm bandwidth.</p>
<p>Adversaries may use the results and responses from these requests to determine if the system is capable of communicating with their C2 servers before attempting to connect to them. The results may also be used to identify routes, redirectors, and proxy servers.</p>","",""
"Wi-Fi Discovery","T1016.002","https://attack.mitre.org/techniques/T1016/002","Linux, Windows, macOS","Discovery","<p>Adversaries may search for information about Wi-Fi networks, such as network names and passwords, on compromised systems. Adversaries may use Wi-Fi information as part of <a href=""https://attack.mitre.org/techniques/T1087"" rel=""noopener"" target=""_blank"">Account Discovery</a>, <a href=""https://attack.mitre.org/techniques/T1018"" rel=""noopener"" target=""_blank"">Remote System Discovery</a>, and other discovery or <a href=""https://attack.mitre.org/tactics/TA0006"" rel=""noopener"" target=""_blank"">Credential Access</a> activity to support both ongoing and future campaigns.</p>
<p>Adversaries may collect various types of information about Wi-Fi networks from hosts. For example, on Windows names and passwords of all Wi-Fi networks a device has previously connected to may be available through <code>netsh wlan show profiles</code> to enumerate Wi-Fi names and then <code>netsh wlan show profile &amp;#8220;Wi-Fi name&amp;#8221; key=clear</code> to show a Wi-Fi network&#8217;s corresponding password.(Citation: BleepingComputer Agent Tesla steal wifi passwords)(Citation: Malware Bytes New AgentTesla variant steals WiFi credentials)(Citation: Check Point APT35 CharmPower January 2022) Additionally, names and other details of locally reachable Wi-Fi networks can be discovered using calls to <code>wlanAPI.dll</code> <a href=""https://attack.mitre.org/techniques/T1106"" rel=""noopener"" target=""_blank"">Native API</a> functions.(Citation: Binary Defense Emotes Wi-Fi Spreader)</p>
<p>On Linux, names and passwords of all Wi-Fi-networks a device has previously connected to may be available in files under <code>/etc/NetworkManager/system-connections/</code>.(Citation: Wi-Fi Password of All Connected Networks in Windows/Linux) On macOS, the password of a known Wi-Fi may be identified with <code>security find-generic-password -wa wifiname</code> (requires admin username/password).(Citation: Find Wi-Fi Password on Mac)</p>","",""
"Remote System Discovery","T1018","https://attack.mitre.org/techniques/T1018","ESXi, Linux, macOS, Network Devices, Windows","Discovery","<p>Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating system could also be used such as  <a href=""https://attack.mitre.org/software/S0097"" rel=""noopener"" target=""_blank"">Ping</a>, <code>net view</code> using <a href=""https://attack.mitre.org/software/S0039"" rel=""noopener"" target=""_blank"">Net</a>, or, on ESXi servers, <code>esxcli network diag ping</code>.</p>
<p>Adversaries may also analyze data from local host files (ex: <code>C:\Windows\System32\Drivers\etc\hosts</code> or <code>/etc/hosts</code>) or other passive means (such as local <a href=""https://attack.mitre.org/software/S0099"" rel=""noopener"" target=""_blank"">Arp</a> cache entries) in order to discover the presence of remote systems in an environment.</p>
<p>Adversaries may also target discovery of network infrastructure as well as leverage <a href=""https://attack.mitre.org/techniques/T1059/008"" rel=""noopener"" target=""_blank"">Network Device CLI</a> commands on network devices to gather detailed information about systems within a network (e.g. <code>show cdp neighbors</code>, <code>show arp</code>).(Citation: US-CERT-TA18-106A)(Citation: CISA AR21-126A FIVEHANDS May 2021)  </p>","",""
"Automated Exfiltration","T1020","https://attack.mitre.org/techniques/T1020","Linux, macOS, Network Devices, Windows","Exfiltration","<p>Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.(Citation: ESET Gamaredon June 2020) </p>
<p>When automated exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as <a href=""https://attack.mitre.org/techniques/T1041"" rel=""noopener"" target=""_blank"">Exfiltration Over C2 Channel</a> and <a href=""https://attack.mitre.org/techniques/T1048"" rel=""noopener"" target=""_blank"">Exfiltration Over Alternative Protocol</a>.</p>","",""
"Traffic Duplication","T1020.001","https://attack.mitre.org/techniques/T1020/001","Network Devices, IaaS","Exfiltration","<p>Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure. Traffic mirroring is a native feature for some devices, often used for network analysis. For example, devices may be configured to forward network traffic to one or more destinations for analysis by a network analyzer or other monitoring device. (Citation: Cisco Traffic Mirroring)(Citation: Juniper Traffic Mirroring)</p>
<p>Adversaries may abuse traffic mirroring to mirror or redirect network traffic through other infrastructure they control. Malicious modifications to network devices to enable traffic redirection may be possible through <a href=""https://attack.mitre.org/techniques/T1542/004"" rel=""noopener"" target=""_blank"">ROMMONkit</a> or <a href=""https://attack.mitre.org/techniques/T1601/001"" rel=""noopener"" target=""_blank"">Patch System Image</a>.(Citation: US-CERT-TA18-106A)(Citation: Cisco Blog Legacy Device Attacks)</p>
<p>Many cloud-based environments also support traffic mirroring. For example, AWS Traffic Mirroring, GCP Packet Mirroring, and Azure vTap allow users to define specified instances to collect traffic from and specified targets to send collected traffic to.(Citation: AWS Traffic Mirroring)(Citation: GCP Packet Mirroring)(Citation: Azure Virtual Network TAP)</p>
<p>Adversaries may use traffic duplication in conjunction with <a href=""https://attack.mitre.org/techniques/T1040"" rel=""noopener"" target=""_blank"">Network Sniffing</a>, <a href=""https://attack.mitre.org/techniques/T1056"" rel=""noopener"" target=""_blank"">Input Capture</a>, or <a href=""https://attack.mitre.org/techniques/T1557"" rel=""noopener"" target=""_blank"">Adversary-in-the-Middle</a> depending on the goals and objectives of the adversary.</p>","",""
